ds,yhat,yhat_lower,yhat_upper,Final_Forecast
1995-01-01,11128.741614135424,10008.10718667694,12350.676037869966,14467.364098376052
1996-01-01,11558.724376168257,10456.362724129487,12764.416736884315,15026.341689018735
1997-01-01,11953.395555212526,10782.371624376628,13194.252681952385,15539.414221776284
1998-01-01,12504.415701641525,11405.94450497028,13752.091736943958,16255.740412133982
1999-01-01,13096.51984573332,11815.472147994938,14475.987232242249,17025.475799453317
2000-01-01,13736.911036016018,12250.3358249476,15299.341830734094,17857.984346820824
2001-01-01,15498.860719533792,14128.149977553132,17174.189613131806,20148.51893539393
2002-01-01,16401.402661526223,14910.367240205496,18141.5832256885,21321.82345998409
2003-01-01,17393.644159598105,15589.006044378477,19374.84974803708,22611.737407477536
2004-01-01,18491.641304683104,16766.927169081708,20580.962009865103,24039.133696088036
2005-01-01,19112.0568507834,17315.796443922078,21070.986850045163,24845.67390601842
2006-01-01,20544.356674631086,18752.82391693766,22679.39506535163,26707.663677020413
2007-01-01,22157.57659785608,20132.62233617476,24459.57600821221,28804.849577212906
2008-01-01,23986.676633933872,21883.96692453671,26641.314094610847,31182.679624114033
2009-01-01,21984.77254216544,19834.950536957826,24073.880571127414,28580.204304815074
2010-01-01,24128.62547552982,21884.877068824408,26568.43780366682,31367.213118188767
2011-01-01,26607.3607704962,24073.4217991308,29323.44738327209,34589.56900164506
2012-01-01,29493.18834287451,26513.43029476569,32335.12180064588,38341.14484573686
2013-01-01,28168.182757635364,25559.244492051665,31113.635841265328,36618.63758492598
2014-01-01,31750.28276329018,28585.86297995598,34945.07075859728,41275.36759227723
2015-01-01,36012.711123694266,32553.385151204817,39820.09650886942,46816.524460802546
2016-01-01,41121.816467592354,37255.61205134134,45486.96248710864,53458.36140787006
2017-01-01,47055.5053487497,42900.86117950752,51408.59589353856,61172.15695337461
2018-01-01,54798.40380280346,49211.68581645822,60418.86518485733,71237.92494364451
2019-01-01,64303.94303642068,58297.02381148999,71185.99147803725,83595.12594734688
2020-01-01,76061.40775273465,69270.64648511248,84308.90829006082,98879.83007855505
2021-01-01,97439.81409407235,87750.3923596252,107075.23066696971,126671.75832229406
2022-01-01,117792.43897544972,106098.72102176628,130420.30032172595,153130.17066808464
2023-01-01,143596.8543203082,128793.41075346209,158954.9655329547,186675.91061640065
